device_brand,device_model,week_start,total_reviews,total_complaints,complaint_rate,roll_mean,roll_std
Apple,iPhone 13,2022-10-24,17,2,0.11764705882352941,,
Apple,iPhone 13,2022-10-31,11,3,0.2727272727272727,,
Apple,iPhone 13,2022-11-07,16,5,0.3125,0.23429144385026737,0.10295582488318523
Apple,iPhone 13,2022-11-14,9,5,0.5555555555555556,0.31460747177658943,0.18129881030782224
Apple,iPhone 13,2022-11-21,7,3,0.42857142857142855,0.33740026313555727,0.1650742277096609
Apple,iPhone 13,2022-11-28,12,3,0.25,0.32283355261296437,0.151897119313853
Apple,iPhone 13,2022-12-05,7,2,0.2857142857142857,0.3508447570947571,0.1182643239202788
Apple,iPhone 13,2022-12-12,12,8,0.6666666666666666,0.4165013227513228,0.16595703123426675
Apple,iPhone 13,2022-12-19,13,2,0.15384615384615385,0.3900590150590151,0.1957983502905307
Apple,iPhone 13,2022-12-26,11,6,0.5454545454545454,0.38837551337551335,0.19412708763361275
Apple,iPhone 13,2023-01-02,18,6,0.3333333333333333,0.3725024975024975,0.19407670903715896
Apple,iPhone 13,2023-01-09,8,3,0.375,0.3933358308358308,0.1847831452872146
Apple,iPhone 13,2023-01-16,9,3,0.3333333333333333,0.40127233877233875,0.1802021241240015
Apple,iPhone 13,2023-01-23,12,4,0.3333333333333333,0.3457167832167832,0.12492163011828725
Apple,iPhone 13,2023-01-30,15,5,0.3333333333333333,0.37563131313131315,0.08484904851905126
Apple,iPhone 13,2023-02-06,10,3,0.3,0.3347222222222222,0.023814483610392036
Apple,iPhone 13,2023-02-13,12,5,0.4166666666666667,0.34861111111111115,0.04096633667709068
Apple,iPhone 13,2023-02-20,16,8,0.5,0.36944444444444446,0.07484551991837493
Apple,iPhone 13,2023-02-27,8,2,0.25,0.35555555555555557,0.08923543557893897
Apple,iPhone 13,2023-03-06,10,2,0.2,0.3333333333333333,0.11005049346146119
Apple,iPhone 13,2023-03-13,12,3,0.25,0.3194444444444444,0.1151890555500761
Apple,iPhone 13,2023-03-20,7,0,0.0,0.26944444444444443,0.1749338499314865
Apple,iPhone 13,2023-03-27,17,5,0.29411764705882354,0.24901960784313726,0.16089785565340478
Apple,iPhone 13,2023-04-03,15,7,0.4666666666666667,0.24346405228758172,0.15075443578976672
